tier,tier_label,ARTG_ID,product_name,sponsor,zinc_percent,n_uv_filters,uv_filters,actives_with_qty,spf_label,mineral_only,pdf_collected,artg_page,pdf_url
6,chemical-only,203751,Allmedic 50+ SPF Face & Body Moisturising Sunscreen,Allmedic Pty Ltd,,6,bemotrizinol; diethylamino hydroxybenzoyl hexyl benzoate; ethylhexyl triazone; methylene bis-benzotriazolyl tetramethylbutylphenol; octyl methoxycinnamate; phenylbenzimidazole sulfonic acid,diethylamino hydroxybenzoyl hexyl benzoate 50.0mg/g; ethylhexyl triazone 20.0mg/g; octyl methoxycinnamate 50.0mg/g; bemotrizinol 50.0mg/g; phenylbenzimidazole sulfonic acid 10.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 60.0mg/g,,False,False,https://www.tga.gov.au/resources/artg/203751,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=203751&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,395679,Antioxidant Body Sunscreen Creme SPF 50,Naked Sundays,,4,butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,octocrylene 100.0mg/g; homosalate 100.0mg/g; octyl salicylate 50.0mg/g; butyl methoxydibenzoylmethane 30.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/395679,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=395679&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,302687,Auscreen Ultra Protect SPF50+ Sunscreen,Paul Duval Pty Ltd,,3,butyl methoxydibenzoylmethane; homosalate; octocrylene,butyl methoxydibenzoylmethane 30.0mg/g; octocrylene 80.0mg/g; homosalate 60.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/302687,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=302687&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,445934,BADDIE SUNSCREEN SPF50+,Baddest Bod Pty Ltd,,5,bemotrizinol; diethylamino hydroxybenzoyl hexyl benzoate; ethylhexyl triazone; octyl salicylate; tris-biphenyl triazine,octyl salicylate 50.0mg/g; diethylamino hydroxybenzoyl hexyl benzoate 40.0mg/g; ethylhexyl triazone 30.0mg/g; bemotrizinol 20.0mg/g; tris-biphenyl triazine 17.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/445934,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=445934&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,409066,BONDI SANDS DAILY MOISTURISING FACE SPF 50+ FRAGRANCE FREE TINTED SUNSCREEN FLUID,Bondi Sands Pty Ltd,,6,bemotrizinol; butyl methoxydibenzoylmethane; diethylamino hydroxybenzoyl hexyl benzoate; homosalate; methylene bis-benzotriazolyl tetramethylbutylphenol; octocrylene,homosalate 100.0mg/g; bemotrizinol 20.0mg/g; octocrylene 60.0mg/g; butyl methoxydibenzoylmethane 50.0mg/g; diethylamino hydroxybenzoyl hexyl benzoate 20.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 30.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/409066,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=409066&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,426451,BONDI SANDS FACE SPF 50+ FRAGRANCE FREE TINTED MATTE SUNSCREEN LOTION,Bondi Sands Pty Ltd,,6,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; homosalate; octocrylene; octyl salicylate,homosalate 73.0mg/g; butyl methoxydibenzoylmethane 35.0mg/g; octocrylene 60.0mg/g; bemotrizinol 10.0mg/g; octyl salicylate 50.0mg/g; ethylhexyl triazone 13.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/426451,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=426451&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,397590,BONDI SANDS FACE SPF50+ TINTED MATTE SUNSCREEN LOTION,Bondi Sands Pty Ltd,,6,bemotrizinol; butyl methoxydibenzoylmethane; ethylhexyl triazone; homosalate; octocrylene; octyl salicylate,bemotrizinol 10.0mg/g; butyl methoxydibenzoylmethane 35.0mg/g; octocrylene 60.0mg/g; homosalate 73.0mg/g; octyl salicylate 50.0mg/g; ethylhexyl triazone 13.0mg/g,50,False,False,https://www.tga.gov.au/resources/artg/397590,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=397590&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,376794,BONDI SANDS SPF15 COCONUT BEACH SUNSCREEN OIL (new formulation),Bondi Sands Pty Ltd,,4,butyl methoxydibenzoylmethane; homosalate; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 30.0mg/g; octocrylene 100.0mg/g; octyl salicylate 50.0mg/g; homosalate 80.0mg/g,15,False,False,https://www.tga.gov.au/resources/artg/376794,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=376794&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,290124,BONDI SANDS SPF15 COCONUT BEACH SUNSCREEN OIL (spray),Bondi Sands Pty Ltd,,4,butyl methoxydibenzoylmethane; ethylhexyl triazone; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 17.0mg/g; octocrylene 50.0mg/g; octyl salicylate 50.0mg/g; ethylhexyl triazone 17.0mg/g,15,False,False,https://www.tga.gov.au/resources/artg/290124,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=290124&agid=(PrintDetailsPublic)&actionid=1
6,chemical-only,295488,BONDI SANDS SPF30 COCONUT BEACH SUNSCREEN LOTION (2),Bondi Sands Pty Ltd,,5,butyl methoxydibenzoylmethane; homosalate; methylene bis-benzotriazolyl tetramethylbutylphenol; octocrylene; octyl salicylate,butyl methoxydibenzoylmethane 25.0mg/g; octocrylene 30.0mg/g; octyl salicylate 50.0mg/g; homosalate 50.0mg/g; methylene bis-benzotriazolyl tetramethylbutylphenol 7.5mg/g,30,False,False,https://www.tga.gov.au/resources/artg/295488,https://www.ebs.tga.gov.au/servlet/xmlmillr6?dbid=ebs/PublicHTML/pdfStore.nsf&docid=295488&agid=(PrintDetailsPublic)&actionid=1
